icao24,origin_country,velocity,geo_altitude
471f02,Hungary,222.44,8442.96
a030a8,United States,208.4,9951.72
5003f7,San Marino,211.61,7901.94
a8f728,United States,184.68,3741.42
c02cf1,Canada,231.2,9982.2
471f04,Hungary,0.0,
a65484,United States,184.79,4716.78
a88d72,United States,259.35,8717.28
0d120c,Mexico,211.16,12123.42
758384,Philippines,213.0,5654.04
a163c2,United States,99.71,1409.7
3c670b,Germany,276.22,11201.4
a426a5,United States,221.17,4404.36
3c670f,Germany,260.52,11879.58
a8943d,United States,0.0,
a6eacf,United States,236.21,9395.46
a90439,United States,36.01,121.92
a296e5,United States,45.18,2240.28
a08021,United States,267.44,10287.0
a9fd06,United States,46.84,1539.24
c81ce8,New Zealand,75.36,2529.84
0d121d,Mexico,222.71,11323.32
a63a83,United States,208.95,13685.52
c046f7,Canada,184.39,9250.68
7c4927,Australia,293.64,
3c671a,Germany,0.0,
a76134,United States,199.47,11841.48
0d1233,Mexico,262.37,12412.98
7c4921,Australia,232.58,10797.54
a2dfb2,United States,31.32,7.62
408092,United Kingdom,328.07,12298.68
a65490,United States,112.79,1447.8
c07e2c,Canada,0.0,
80174d,India,95.47,1059.18
80174b,India,3.6,
aa7a1f,United States,14.92,
ab9a10,United States,89.12,2141.22
abc7c6,United States,229.33,11170.92
a05801,United States,70.15,1592.58
ace7aa,United States,231.33,11887.2
a7cfb7,United States,4.89,
801767,India,209.4,8290.56
c07e42,Canada,28.01,297.18
c02ed9,Canada,265.59,12054.84
a1a0cb,United States,37.53,594.36
a533bd,United States,107.52,1882.14
ad9db0,United States,247.48,10340.34
a5cc37,United States,251.68,11170.92
abadc0,United States,205.9,11780.52
7c6c52,Australia,198.62,6690.36
c07e32,Canada,223.88,10043.16
c07e33,Canada,219.67,10614.66
aa44ad,United States,244.56,9928.86
a8592c,United States,46.24,274.32
abfd23,United States,183.52,3886.2
ac97e4,United States,245.75,11117.58
7c6c56,Australia,215.78,8923.02
aaa7ef,United States,224.02,11894.82
a40cd9,United States,228.33,11254.74
a030e9,United States,50.43,220.98
408228,United Kingdom,239.23,11140.44
abea11,United States,271.34,8755.38
a2dffe,United States,216.82,10660.38
801736,India,224.21,7269.48
a22358,United States,3.86,
a64ce6,United States,245.18,9380.22
ab9a32,United States,218.33,10607.04
abadd6,United States,171.05,2987.04
c0853f,Canada,238.11,10988.04
ad574f,United States,177.04,3368.04
a2e6dd,United States,40.7,617.22
a83f56,United States,151.13,3619.5
c07e62,Canada,193.26,11414.76
710411,Saudi Arabia,261.4,9563.1
abfd39,United States,206.81,8191.5
c08537,Canada,198.79,7696.2
a7e9e4,United States,272.93,11529.06
c08536,Canada,247.3,10942.32
c035bb,Canada,174.36,3802.38
a2d3b3,United States,0.0,
a7e9e7,United States,111.64,2255.52
a9ea96,United States,14.4,
a1a0a1,United States,259.03,11071.86
801746,India,197.72,11330.94
a40cc1,United States,50.0,2293.62
c821ba,New Zealand,55.96,60.96
a7130c,United States,191.41,4724.4
8a01af,Indonesia,228.46,10706.1
a2101f,United States,215.54,9357.36
a5cc3c,United States,184.42,7338.06
ace7bf,United States,109.37,1165.86
ac377b,United States,259.24,11628.12
e49329,Brazil,221.52,8930.64
0d10e3,Mexico,179.69,7635.24
a2107b,United States,212.92,11269.98
3c7879,Germany,229.85,10424.16
7cb036,Australia,48.16,952.5
3c4b34,Germany,303.49,10012.68
ad8aac,United States,47.16,434.34
3c4b32,Germany,295.3,11003.28
3c4b31,Germany,328.25,10157.46
7c10f2,Australia,197.24,13860.78
e49f5b,Brazil,197.25,12717.78
ad07eb,United States,54.53,15.24
ab9a4e,United States,45.48,716.28
acd4b6,United States,54.77,586.74
7cb023,Australia,20.35,152.4
ac245c,United States,219.54,9220.2
a4503d,United States,262.04,11612.88
a4bf41,United States,205.63,9387.84
a546c9,United States,225.64,10058.4
0d10f8,Mexico,96.21,922.02
a3a647,United States,269.96,10972.8
80179a,India,230.17,9852.66
7c6c97,Australia,8.23,
ab9a5b,United States,320.97,9982.2
a7b169,United States,199.65,12885.42
7c6c95,Australia,1.29,
aba1b2,United States,46.2,624.84
7c6c90,Australia,267.62,11155.68
3c4b2b,Germany,146.38,4815.84
3c4b2a,Germany,264.25,10241.28
7c6c99,Australia,241.3,11247.12
40825d,United Kingdom,207.35,11955.78
a3ecc9,United States,19.12,670.56
a5f953,United States,29.65,22.86
ae4a1f,United States,94.65,617.22
a85931,United States,5.14,
ab048d,United States,222.78,10507.98
0d10fd,Mexico,230.52,10645.14
a0808f,United States,185.1,5699.76
adf4c6,United States,54.74,1562.1
a05827,United States,169.1,3611.88
7c6c82,Australia,59.27,2034.54
4a2aac,Romania,238.92,10378.44
abb4ea,United States,1.54,
a40cfc,United States,0.77,
c821f8,New Zealand,130.19,5311.14
a9b4de,United States,216.6,10081.26
ac379a,United States,250.73,11422.38
ac0a75,United States,183.53,3733.8
ad5785,United States,213.75,5730.24
80177b,India,6.94,
80177e,India,152.86,4191.0
a5cc15,United States,244.59,10431.78
a008c5,United States,233.08,8488.68
a4bf67,United States,40.68,731.52
a4bf68,United States,270.42,12839.7
a5cc13,United States,230.54,10043.16
a5cc12,United States,245.16,10401.3
a5cc11,United States,219.5,10172.7
a3fffc,United States,224.79,11910.06
ad445b,United States,198.31,9083.04
